Coding,Message
Information,"Well Chris, the Roatan Marine Park has been and is still very involved in improving Honduran Environmental Laws. Things don't change over night in first world countries so you can imagine how hard it can be here with lots of conflict of interest in many cases. The SAD photo you post its a true reality and we have extensive awareness programs with kids and we are just starting to create an awareness program thru diving and its not just something random this is the way for many local people to realize their treasure.  But the true strength of the RMP comes from the united effort of Hotels, Dive shops and other stake holders that depend of the Island. And let me just rephrase united. We have touched all the government levels that are in charge of actually punishing this acts and in this year we have had success on the response and prosecution. Strong fines had been given and some projects have been stopped. But as I mentioned before we need to work United and we cant stop all of the bad things that affect the reef but we definitely make a difference.We want to stop problems like this every one should together as part of this Island. If someone has a report contact us as soon as you can and we will gather information or  detain and then send it to the government office that has the responsibility prosecute, we will follow up. If you want to know more about all the activities, projects, funds, and government relations please contact us, or come to our general Assembly which will be in March and will post the exact date on our Facebook page. All together we make the difference not alone."
Action,2nd Annual Bay Islands Coastal Cleanup
Community,RESCUE TURTLE COUNT!!! \nHow many turtles to do you see?
Action,"You guys remember the turtle release that had to be re-scheduled? Well, TODAY IS THE DAY!!! The turtle is en route and will be released at 5PM in Half Moon Bay in front of the Marine Park office!!! Bring your waterproof cameras and swimsuits!! :)"
Community,"One is a simple data base of everyone that has been licensed to hunt lionfish. We have photos, names, contact info, spear number and expiration date. The other is a little more complicated; it's our patrol database which would serve as a back up to one that we already share with other organizations. It needs to have names,ages, photos, location, techniques and cross referenced in some way so we can search for offenders based on criteria in order to write reports."
Action,"As some of you may have noticed we have been doing turtle research with proTECTOR (http://www.turtleprotector.org/). They have been here for a couple months and would like to share their findings with all the diveshops of Roatan.\n \nWe will be sharing this data on FRIDAY, this Friday, in the classroom of  Roatan Oasis starting at 5:30PM! \n\nChristian and Dustin will also be visiting your diveshop to collect any forms you have filled out and to let you know about it! \n\nHope to see you there! "
Community,Thanks to everyone that participated in the cup slogan contest all those months go. \n\nThey have arrived; we have paper cups!\nLps 650/box of 1000 or Lps 65/hundred\nFREE DELIVERY! \n\nDo your part to help Protect Roatan's reef. \n NO MORE PLASTIC in the sea!!!
Action,The competition finishes on Sunday so get snapping
Action,If you're traveling to San Pedro and need a hotel this is the way to go! Buy your PromoDias card at our Eco Store in West End for only 400lps it will pay for itself in no time! \nFor more info please call 2445-4206 or visit www.promodias.com
Community,"Betty Lopez and Anna Samud if you are trying to submit these photos please send them to photosrmp@gmail.com and label each one with the Photographer's name, Photo's name, Photo location and category. These will be the only late submission accepted. Please submit them no later than tomorrow."
Community,Photo courtesy of Alex Harper-Brown
Community,Thank you for letting us know you received your package! We are very happy you got it! :)
Community,There is no online store as of yet. You can make orders through here and pay via Paypal and we will get them to you as soon as we can.
Action,"Do you live in the Mesoamerican Region? Have you ever thought about why more things don't get done to protect the mangroves? Maybe you have a project in mind and just need some help developing it! If so, THE TIME TO DO SOMETHING IS NOW!!! \n\nThe MAR Leadership Program is now open for submissions! This year's theme is Mangrove Valuation and Conservation! \n\nFollow the link for more information! Let's work together to make a difference! \n\nhttp://liderazgosam.org/general-information/?lang=en"
Community,Website need a little spicing up? Maybe just need a little online marketing help! Check out the Go Blue Central America YouTube page for their free webinars! https://www.youtube.com/channel/UC8Ck68990D9WAL1n4l4im1w
Information,"These were published in La Tribuna on Sunday. Great write up on our lionfish efforts, illegal seahorse trade and getting the word out there!"
Community,More great videos by great people!! Awesome Job Katie and Michael! \n\nhttp://valueofvolunteering.org/videos/episode-one/
Community,"Beach Cleanup in Half Moon Bay! Thank you to Subway Watersports Roatan, Ocean Connections, West End Divers, Policia Nacional, Cannibal Cafe and so many others that came out to Half Moon Bay this morning! If anyone has anyother photos please feel free to tag us! :)"
Information,"We stopped the first big boat with cayucos in french cay thanks to the support of the community of French cay and the problem is that who coordinates the sea cucumber trade has a research permit but it only applies for the main land Honduras fisheries, not on the Bay Island because it has been declared a Marine National Park. Still unfortunately there is a lot of pressure of Asian market and this is and will be one of our strong problems on the Island."
Community,Not sure but we will ask the Bay Islands Coastal Clean Up :)
Community,"We would like to thank Melanie Merlino for once again choosing to support the RMP by becoming an Individual Gold Member. Her new dive site, named by her son, is B's Deep, located adjacent to a channel between the Odyssey wreck and Spenser's Rose Garden. The mooring is in 30ft next to a huge crack which leads to the shallow reef crest. To the west you have steep walls running from 20ft down to 100ft while in front you have a gently sloping reef that heads off into the deep. Thanks again and happy diving"
Community,"Yes, West of the Methodist Church in Flower's Bay"
Information,"Hopes everyone enjoys the beach over semana santa, but would like to remind people to take their trash with them and avoid standing on the reef"
Community,Thank you to our great volunteers for all of their help making beautiful signs and patrolling our beaches. We were lucky to get some great artists this time! Thank you!
Information,We will be posting photos and prices of the final products in the next few days and can reserve as long as pick up is timely! :)
Community,"Sign making Friday! Thank you Diamonds International, Tiani Forbes and Frances Wong for doing a great job! \nBe on the lookout on Roatan's beaches for our new signs :)"
Community,"Thank you to everyone that came out to support the Lionfish Cookoff! \nWe would like to that the participants! Vintage Pearl, Celeste's Island Cuisine, Chubby Hubby, Mayan Princess and Turquoise Bay!\n \nWe would also like to announce that for the 2nd year in a row MAYAN PRINCESS took home the crown! Turquoise Bay was a close 2nd and Vintage Pearl took home 3rd! \n\nWe look forward to more events like this in the future!"
Community,Sorry it's crooked!
Information,Here is the approximate location of where the boat with the 8 passengers where found
Information,"Sea cucumbers, named for their resemblance to the vegetable cucumber, are echinoderms and are in the same phylum as starfish, sea urchins, and sand dollars. They are found at every ocean depth and worldwide there are approximately 1250 species. They can be anywhere from 3 millimetres to 1 metre in length but are typically 10-30cm long. \nSea cucumbers serve a useful purpose in the marine ecosystem as they help recycle nutrients. They are generally scavengers, feeding on decaying organic matter, however some feed on plankton. Therefore they play an integral part in marine ecosystems, almost similar to that of lobster and conch, and cannot be disregarded as being unimportant. \nFor centuries sea cucumbers have been harvested for human consumption with some species cultivated in commercial aquaculture systems. They are mostly exported in a dried form, but a small quantity of fresh and frozen sea cucumber also enters into international trade. Nearly 90% are consumed in Southeast Asia and the Far East and in general consumption is associated with high quality dried and prepared/preserved seafood such as shark fins, abalone and other shellfish. In Dalian, the largest sea cucumber trading hub in China, the industry is estimated at $1.6 billion per year, meaning global estimates are much greater. \nIn the past year, with the closure of the lobster diving fishery In Honduras, fishermen have been looking for alternatives and have heard of the possible riches in harvesting sea cucumbers. There have been numerous cases throughout Roatan of boats packed full of free divers collecting sea cucumbers and fortunately, on several occasions we were able to intervene and release the sea cumbers.  According to the Bay Islands Management Plan, it is illegal to remove and commercialize shells, hard and soft corals, seas cucumbers, starfish, sea urchins, seahorses, sponges, turtles, sharks and all sub products. This law is for the whole of the Bay Islands, therefore we ask that you report any boats or individuals collecting sea cucumbers so we can collaborate with the authorities and stop this from happening."
Community,"If you are asking because of the audio we made for the radio, it was made to be used on all 3 islands. It is still brought to you by the RMP and USAID but you could call BICA Utila or the UMA in Guanaja!"
Information,Half Moon Bay is a no wake zone... all licensed water taxis know this. It is hard to stop completely when we don't have enough patrols and there are so many people using unauthorized water taxis.
Action,Want to help us protect this beautiful reef? Why not visit www.roatanmarinepark.net and become a member. Your help means we can increase our patrols and ensure this reef is well protected.
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses outside the SBWEMR between January and May 2014. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservational message, we would be unable to continue protecting Roatan's reefs"
Action,There are only a few days left to send your best photos in to have the chance of them appearing in the RMP 2011 calendar
Action,"www.roatanradio.com will be replaying an interview with the Marine Park's Executive Director at 10am Roatan time, 1hour 40 minutes from now. Listen in to the 2 hour show about what's been going on at the Park and plans for the future"
Community,"As voted on by the Friends, Members and Supporters of the Roatan Marine Park this Goatee Blenny has won 2nd place in the BEST FIND category! Congratulations @alex harper-brown"
Action,PHOTO CONTEST CLOSES TOMORROW @ MIDNIGHT!\n\nOne more day to share your photos with the world! Submit your photos before tomorrow the 15th of July at midnight!
Information,"For all Visitors and Residents alike that have been and would like to swim with the Whale Sharks. And for the dive professionals around who have decided that it is ""OK"" to touch these sensitive creatures We would like to remind everyone about the LAWS of Whale Shark swimming :) Please be on the look out for these posters in a diveshop near you! If you would like a poster please contact us @ info@roatanmarinepark.net!"
Information,Ones confiscated in the last week!
Community,"Thank You to everyone that came out last night! We feel great having given out copies of the Management Plans (Bay Islands and Cordelia), Normativas, HRI Report Cards and RMP videos! \n\nAs promised here is our contact info! \nOffice numbers 2445-4206 and 2445-4208.\n Giaco (Director and Patrols) 3351-8591. Christi (Community Development) 3289 1213. Nick (Infrastructure) 3320-6940. Marta (Administration and Retail).\n\nPlease let us know if there is anything we can help you with!"
Information,"Normativa Tip!\n\nUse section 11.2 to protect the safety of your business and that of your staff.\nIn particular sub-section e) Dive guides have the right to refuse the participation of any diver if it has been determined that they may be a risk to them self, others or both. \n\nThese laws are for the safety of all... don't forget to read them thoroughly!"
Information,"All of the Iguanas where alive, a little banged up but still active as we set them free"
Community,For the record THIS IS NOT ON ROATAN! If it was you would see us all out there taking photos and videos! :) :) \nKate Rister Thank you for clarifying common misconceptions! Your passion shows through your words!
Action,We will have a Patrol Boat Water Taxi Shuttle (Don't worry the other boats will still be patrolling!) leaving from Coconut Tree Dock on the top of the hour starting at 1 and ending at 5! We will then have a bus shuttle leaving from the entrance. We are still figuring out the times for the bus but it will be frequent! Keep eyes here for more updates :) :)
Community,That sounds AMAZING! Thank you so much!
Action,Hmmm... Polo's water board office Behind Mares?  We've been here since 430. It's not too late come on by!
Community,"Anyone on island  qualified to teach 7th-9th grade science, 10-11 grade Biology and Chemistry?"
Information,"Roatan could be the leader in Central America for this type of initiative! We need everyone to ban together, all citizens, tourist and cruise shippers to join the fight! Join the fight against plastic! THE TIME HAS COME TO SAY,  ""NO MORE PLASTIC ON OUR REEF!!!"" \n \nhttp://www.plasticbagfreeday.org/"
Community,Can you imagine a Plastic Bag Ban on Roatan? I can! \n\nhttp://www.mnn.com/lifestyle/responsible-living/blogs/interactive-map-shows-plastic-bag-bans-around-the-world
Community,Thank you Ian Drysdale for this beautiful shot of Cordelia!
Information,Only best find is judged by the public
Community,"We would like to thank our Gold Individual member Gerald Forney who purchased the new dive site Lambie Pie, located just to the west of the channel by Man of War Key. The mooring is sitting in 25ft right on top of the wall which leads to a deep sandy basin"
Community,Call Christi if you're interested at 3289-1213. It would nice to organize an Earth Day event with the school kids! Maybe with some of the collected materials from the clean up!?
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses within the SBWEMR between January and June 2014. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservational message, we would be unable to continue protecting Roatan's reefs"
Action,We are aiming for 5:30-6... They are on their way back now... 4 Turtles!!!  Special Thanks to Jimmy from Camp Bay!!
Action,"Ever wanted to name your own dive site? Now you can! Become a gold individual member and be able to take your friends to ""Mike's extravaganza"" or ""Cindy's Orchard"""
Community,Happy Turkey Day to all those who have something to be Thankful for!
Information,We started the month with a successful operation in coordination with the Police. We where able to impound a 500 feet long and 8 feet tall gill net over craw-fish rock area.
Information,We are all connected...
Action,Can't wait for the next release which should be any day soon
Action,If anyone out there is wondering how they can help out but do not necessarily know how we are currently in need of 5 boxes of latex gloves and at least 5 bales (fardos) of barrel size plastic bags for an upcoming island wide cleanup. \nWe know that plastic is not the best option so we are also looking for realistic alternatives. \nWe will need at least 500 so if anyone has sacks or any other solutions please feel free to drop us a line!
Community,You can Paypal us the $10 plus the tax to info@roatanmarinepark.net and send us your address. We will send it to as soon as we can.
Community,Turtle Thursday! Have a spare minute? Why not try this turtle origami? :)
Community,Joseph Stone We will be cleaning this Sunday!! Will you be around to lend a hand??
Information,great message
Action,We will be having a clean up tomorrow :) If anyone is interested please call christi at 3289 1213
Action,We are looking for a venue to hold a turtle workshop on May 11th and 12th. Must be in the West End/West Bay area and hold 20-25 people! Thanks
Information,Final count on LIKES= 54
Information,Here are the new markers in West Bay by Grand Roatan in an aim to prevent people getting stuck in shallow areas and standing on the reef. The channel has been well marked out (green) and large markers connected with line have been installed as a visual barrier (red)
Information,Check out what the RMP and its staff have been up to in January
Community,"Yea we still need people,  meet at the office @ 8:30 on Monday"
Action,"Good Morning, It's raining, we're working... come down and visit the Ecostore for all your eco-friendly needs! We have cleaning products, bug repellant, long sleeve t-shirts and umbrellas!!!"
Information,y en este caso en particular otro factor mas el cual segun la ley es un delito penal es el que el pescador que capturo este producto tambien tenia una tortuga la cual esta en peligro de extinci\xf3n y protegida no solo por leyes nacionales sino tambien internacionales.
Community,Unbiased
Community,"We would like to thank our newest Individual Gold Member Buck Beasley. Living near Polytilly and diving with Subway Watersports, he thought it would be nice to have a dive site which the family can see from their house and dive when they could. The mooring, Beasley's North 40, is located just to the west of Polytilly channel and sits in 25ft, close to the shallow reef with gullies leading down to the deep sand patch"
Community,"Hi Linda. If you are interested in making a contribution, you can do via paypal. You can address the donation to info@roatanmarinepark.net. we will email our thanks to them. Thanks"
Information,"We are so proud to have signed the National Marine Park Co-Management Agreement, we are looking forward to continue to working together to protect Roatan and the Bay Islands. The second largest protected area in Honduras. Together we can make a difference! http://www.diarioroatan.com/node/6472"
Information,"Roatan Marine Park, present on Pto Lempira sharing awareness about Sharks and other alternative livelihoods helping conservation."
Information,Hole in the wall
Community,You will receive a confirmation email tonight. Thanks for your submission :)
Community,"#Emprendedores #NuestraGente| \n\nEl hondure\xf1o Kennet Silva es un misionero cristiano y cansado de que sus herramientas tecnol\xf3gicas no soportaran carga para toda la estad\xeda en lugares remotos de Honduras, puso su mente a trabajar y de la lluvia de ideas naci\xf3 la primera mochila ecol\xf3gica solar en Honduras.\n\nFirst solar paneled backpack will allow you to charge your electronics when in remote places. Thank you Kennet Silva for being an innovative Honduran!"
Community,Didn't happen in Roatan Waters but was filmed by one of our own! Nick's love for the ocean has put him in many insane situations and this one is no different! \nGreat job to Nick and Caroline Power! It was history in the making! 
Community,"Great Questions! \nAny photo, as long as it is marine based can be submitted into the Artistic category! It is open let your creative juices flow! \nYou can also submit as many as you like into either one of the bonus categories! \nThe Reef Life and Behaviour category can be thought of as an outlet for anything that does not fit into the Reef Scene category but happens in and around the Coral Reef! So if it is easier to think of it as a \u201cportrait and behaviour\u201d category that\u2019s fine! \nSizes have been asked to be kept to letter size 8.5\u201d x 11\u201d  and can be Png, Jpg, or Tif. \nBest Find will be judged as it always has... popular vote! We will open it up for LIKES after all submissions are in!"
Information,The RMP part of the regional committee of the Mesoamerican reef system to create the Regional Strategy for the control of the invasion of Lion Fish.
Community,"David Garrison Staubach, Yes it is :("
Community,view the other links on the Marine Park facebook page for recipes 
Information,Aqui tenemos al sticker que va adentro de los menus... en el parte abajo se ve la explicacion de los categorias.
Information,Here is the menu sticker. On the bottom you see an explanation of the categories and the species within them :)
Community,"Not sure but, if you hear of anyone please let us know!"
Action,"Are you an avid lionfish hunter? We just got a new batch of lionfish spearing goodies including 3ft spears with either the 3 prong or detachable 6 prong head, mini spears, light and heavy duty elastics, replacement caps and homemade keepers. If you wish to purchase a new spear, please bring your license to the Marine Park store in West End"
Community,Photo of the Week! 2013's Bay Islands Coastal Cleanup is just around the corner... Dont miss this chance to make a difference!
Community,"We would like to thank our other latest Individual Gold Members Bo Thordarson and Hans Strandgaard who purchased a new site ""Grand Marie's Sea Garden"". The mooring is located just to the left of a small channel in front of Crawfish Rock, a mile west of the golf course."
Community,"We would like to say thank you to all our supporters and hope that by viewing these charts, you can make an informed choice on deciding who to dive with. Thank you again"
Information,Confiscated items from 2009
Action,"Roatan han sido elegido como uno de los sitios para el programa de Liderazgo SAM para en a\xf1o 2014 con el enfoque del Manejo Integrado de Residuos Solidos.   \nSi alguna vez has pensado en como se puede ser la diferencia en nuestra isla o si solamente esta harta de tanta basura y falta de manejo de residuos solidos; esta es su oportunidad. \nDebes aplicarse al program de LIDERAZGO SAM 2014, FECHA LIMITE: 20 de MAYO. \n\n"
Information,"The graph indicates funds generated from the sale of the ""user fee"" and membership payments by dive shops and businesses outside the SBWEMR between January and April 2014. It does not include user fees on consignment, t-shirt sales or lionfish licenses. We would like to thank all of our supporters, big and small, and highlight that without you promoting our conservational message, we would be unable to continue protecting Roatan's reef"
Information,Just a quick update: They have extended the hours of licensing until 5 PM. There have been over 300 captains licensed in the last 2 days! We look forward to the final tally!!!
Community,How many can you wear at once? :D :D
Community,Spanish Video about Plastics... from www.espacioverde.org.mx
Information,Look out for the Best Find Category. This may or may not be in it and the album will be up soon!
Information,Sharpnose puffers scattered on the beach!
Community,"Great sunday with cool volunteers in an effort of cleaning the south side of Roatan from the dangerous ghost traps for fish and lobster. Great support from Barefoot Divers, Roatan and their interns, instructors and Oscar Maradiaga supporting this project of the Roatan Marine Park."
Community,That would be awesome!! Thanks Jacques
Community,Volunteer day with Diamond's International. Today we did some off the not so glamorous conservation work... inventory!!!
Community,"I am very proud of this young man's instructor! Happy Birthday Derry! We need more kids like you in this world!! :) -Christi \n\nI see children, all children, as humanity's most precious resource, because it will be to them that the care of the planet will always be left.  Alice Walker"
Community,"Photo of the week... what a healthy, balanced ecosystem looks like!"
Community,Sadly there where mix information about how many there where but the important point is that they are safe and back on land.
Community,It's a Goatee Blenny!  You will hardly see a full body photo taken around here of one of these shy guys!!
Community,"For an update on the work from the turtle researchers from ProTECTOR who have been working with the Marine Park, please follow the link"
Action,"Perfect way to start the day!! Keep you eyes open for them on all sides of the island. Then, come on down to Banarama for the announcement of the winners of the 2014 photo competition!! FREE Shuttle from West End entrance at 6 presentation starts at 6:30!"
Community,This article just goes to show you that there is so much we can discover in our own backyards! Exploration doesn't necessarily mean traveling and spending tons of money. Just keep your eyes and ears open and you never know what you'll find!
Community,"He didn't, not yet... he just has to go pick them up..."
Community,"There have been two great reviews about Roatan this week. We are rated #3 of the WORLD'S Top Islands! Yes, you read that correctly, the WORLD; by both CNN and Tripadvisor! \nThere is no way Roatan could be what it is without our beautiful coral reefs so THANK YOU to everyone that protects them day in and day out! There are days that it feels like a losing battle but we now have a bit of recognition for all the hard work! \n\nhttp://edition.cnn.com/2015/04/21/travel/tripadvisor-best-islands-world-feat/index.html\n\nhttp://www.tripadvisor.com/TravelersChoice-Islands"
Action,We are always looking for volunteers to make sure this doesn't happen!!! It is a daily reality for our coral reefs! Please contact Christi if you are interested in volunteering with us!
Community,Nice!! :) thanks for sharing!
Community,"Check out this video https://youtu.be/PieZ7aNl9b0\n'Treasures of Roatan' a video shot in it's entirety while free diving in West Bay, by Jaques Lalonde. In this video, you will see over 60 marine species, big and small. However, this is only a fraction of the vast number living around Roatan. Enjoy!"
Community,"With your help, we managed to bring in almost 1300 lionfish during the Derby. And a big thanks to everyone that came to the Cook-Off. It was an amazing turnout. Let's hope we have enough lionfish next time!"
Community,Goggle eyes is what they said
Community,I have the perfect thing... do you speak Spanish?
Information,These were thrown back into the ecosystem! \nWhen we have large quantities that are in good condition we will donate them to the orphanages!
Community,Sherman the turtle heading out to sea... Thanks to the Arch Family for keeping him safe and sound up in French Cay all these months! He was strong and ready for the open water! Where there's a will there's a way!
Community,"With your help, we managed to bring in almost 1300 lionfish during the Derby. And a big thanks to everyone that came to the Cook-Off. It was an amazing turnout. Let's hope we have enough lionfish next time!"
Community,"We would like to say thank you to all our supporters and hope you will continue supporting the cause and have your divers buying the ""user fee"". The bracelets and tokens fund a huge proportion of our projects such as patrolling and marine infrastructure maintenance\\"
Community,The Roatan Marine Park is in episode 4!!
Action,We rent our gear by the day. It is $5 a day and if you pay for the 2 weeks upfront we can waive the $40 deposit per set.
Information,Not good for Hamacas...
Community,"the figures could be placed on 1 graph but we feel that this would make it too busy. We also chose to differentiate between shops in West Bay, West End and Sandy, and those elsewhere, therefore 2 graphs"
Information,Starting off the week with great news is always a good sign!!
Community,"Eric George On our website it is recommended that restaurants shouldn't stockpile, but if you look at the date of those recommendations you will see that it is from 2009! However, in our March 15th conversation on this matter we explained to you that it is now a recommendation that members of the The Bay Islands Responsible Seafood Guide do! We work very closely with DIGEPESCA (the fisheries department) and know not only where our members are getting their seafood but where their SUPPLIERS get theirs! We offer this responsible information in order for them to make responsible and more economic decisions. \nThings have evolved significantly since 2009 in the ways of conservation. As off 2010 we have had this seafood guide which is not the Seafood WATCH that was mentioned all those years ago."
Information,this photo will not be accepted as the diver must have stressed the puffer fish to get this shot. 
Community,Way to keep the photographer anonymous guys :O!
